image_id,original_label,mapped_label
35,Tissues,Paper
35,Toilet tube,Other
36,Clear plastic bottle,Plastic
37,Glass bottle,Glass
38,Plastic film,Plastic
38,Crisp packet,Plastic
39,Glass bottle,Glass
40,Glass bottle,Glass
41,Drink can,Metal
41,Pop tab,Metal
41,Normal paper,Paper
42,Drink can,Metal
43,Other plastic bottle,Plastic
43,Other plastic bottle,Plastic
43,Glass cup,Glass
44,Food Can,Metal
44,Food Can,Metal
44,Food Can,Metal
44,Pop tab,Metal
44,Pop tab,Metal
45,Food Can,Metal
45,Food Can,Metal
45,Food Can,Metal
45,Food Can,Metal
45,Food Can,Metal
45,Food Can,Metal
46,Food Can,Metal
46,Food Can,Metal
46,Food Can,Metal
46,Pop tab,Metal
46,Pop tab,Metal
46,Pop tab,Metal
47,Plastic lid,Plastic
47,Metal lid,Metal
47,Egg carton,Paper
47,Egg carton,Paper
48,Egg carton,Paper
49,Egg carton,Paper
50,Plastic straw,Plastic
51,Drink can,Metal
52,Drink can,Metal
53,Other carton,Paper
54,Crisp packet,Plastic
54,Normal paper,Paper
55,Drink can,Metal
56,Paper cup,Paper
57,Plastic straw,Plastic
58,Paper bag,Paper
59,Paper bag,Paper
60,Clear plastic bottle,Plastic
60,Plastic bottle cap,Plastic
61,Crisp packet,Plastic
62,Paper cup,Paper
62,Plastic lid,Plastic
63,Disposable plastic cup,Plastic
63,Plastic lid,Plastic
63,Drink can,Metal
63,Drink can,Metal
64,Plastic straw,Plastic
64,Broken glass,Glass
64,Broken glass,Glass
65,Plastic utensils,Plastic
66,Paper bag,Paper
67,Food Can,Metal
67,Glass jar,Glass
67,Metal lid,Metal
67,Tissues,Paper
68,Food Can,Metal
68,Food waste,Other
69,Squeezable tube,Plastic
69,Metal bottle cap,Metal
70,Other carton,Paper
70,Spread tub,Plastic
70,Other plastic wrapper,Plastic
71,Spread tub,Plastic
72,Plastic film,Plastic
72,Food waste,Other
73,Single-use carrier bag,Plastic
73,Shoe,Other
73,Shoe,Other
74,Garbage bag,Plastic
75,Drink can,Metal
75,Drink can,Metal
75,Clear plastic bottle,Plastic
75,Pop tab,Metal
75,Other plastic wrapper,Plastic
75,Other plastic wrapper,Plastic
75,Plastic film,Plastic
75,Plastic film,Plastic
75,Plastic film,Plastic
75,Aluminium foil,Metal
75,Aluminium foil,Metal
75,Normal paper,Paper
75,Plastic bottle cap,Plastic
76,Clear plastic bottle,Plastic
76,Other plastic wrapper,Plastic
76,Metal bottle cap,Metal
76,Plastic bottle cap,Plastic
76,Pop tab,Metal
77,Six pack rings,Plastic
77,Plastic lid,Plastic
78,Foam cup,Other
79,Foam cup,Other
80,Paper straw,Paper
80,Glass cup,Glass
81,Corrugated carton,Paper
81,Corrugated carton,Paper
81,Corrugated carton,Paper
81,Food waste,Other
81,Food waste,Other
81,Unlabeled litter,Other
82,Aluminium blister pack,Metal
82,Battery,Other
82,Aerosol,Metal
82,Plastic bottle cap,Plastic
82,Plastic bottle cap,Plastic
82,Squeezable tube,Plastic
82,Squeezable tube,Plastic
83,Plastic film,Plastic
84,Toilet tube,Other
84,Toilet tube,Other
84,Toilet tube,Other
84,Other plastic bottle,Plastic
84,Other plastic bottle,Plastic
84,Plastic bottle cap,Plastic
85,Drink can,Metal
85,Garbage bag,Plastic
85,Garbage bag,Plastic
85,Garbage bag,Plastic
85,Pop tab,Metal
86,Rope & strings,Other
87,Other plastic wrapper,Plastic
87,Drink can,Metal
88,Drink can,Metal
88,Drink can,Metal
88,Disposable food container,Other
89,Meal carton,Paper
89,Clear plastic bottle,Plastic
89,Plastic bottle cap,Plastic
89,Drink can,Metal
89,Disposable food container,Other
89,Normal paper,Paper
89,Unlabeled litter,Other
89,Unlabeled litter,Other
90,Paper cup,Paper
90,Plastic lid,Plastic
90,Unlabeled litter,Other
90,Normal paper,Paper
91,Crisp packet,Plastic
92,Food waste,Other
93,Plastic film,Plastic
94,Plastic bottle cap,Plastic
94,Metal bottle cap,Metal
95,Metal bottle cap,Metal
96,Drink can,Metal
97,Styrofoam piece,Other
97,Aluminium foil,Metal
97,Aluminium foil,Metal
98,Food Can,Metal
98,Food Can,Metal
98,Plastic film,Plastic
98,Plastic film,Plastic
98,Garbage bag,Plastic
98,Other carton,Paper
98,Other carton,Paper
98,Disposable food container,Other
98,Spread tub,Plastic
98,Tissues,Paper
99,Other carton,Paper
99,Drink carton,Paper
99,Other carton,Paper
99,Drink can,Metal
99,Food Can,Metal
99,Food Can,Metal
99,Toilet tube,Other
99,Pop tab,Metal
99,Other plastic bottle,Plastic
99,Plastic bottle cap,Plastic
99,Plastic film,Plastic
99,Aluminium foil,Metal
99,Aluminium foil,Metal
100,Corrugated carton,Paper
100,Food Can,Metal
100,Drink carton,Paper
100,Other carton,Paper
100,Egg carton,Paper
100,Other carton,Paper
100,Other carton,Paper
30,Cigarette,Other
50,Cigarette,Other
50,Cigarette,Other
54,Cigarette,Other
56,Cigarette,Other
57,Cigarette,Other
57,Cigarette,Other
57,Cigarette,Other
57,Cigarette,Other
57,Cigarette,Other
57,Cigarette,Other
60,Cigarette,Other
64,Cigarette,Other
64,Cigarette,Other
64,Cigarette,Other
64,Cigarette,Other
64,Cigarette,Other
64,Cigarette,Other
65,Cigarette,Other
65,Cigarette,Other
66,Cigarette,Other
86,Cigarette,Other
89,Cigarette,Other
89,Cigarette,Other
89,Cigarette,Other
89,Cigarette,Other
93,Cigarette,Other
101,Clear plastic bottle,Plastic
102,Other plastic bottle,Plastic
102,Plastic bottle cap,Plastic
102,Unlabeled litter,Other
102,Unlabeled litter,Other
102,Unlabeled litter,Other
102,Squeezable tube,Plastic
102,Unlabeled litter,Other
102,Clear plastic bottle,Plastic
102,Unlabeled litter,Other
102,Unlabeled litter,Other
102,Unlabeled litter,Other
102,Unlabeled litter,Other
102,Unlabeled litter,Other
103,Unlabeled litter,Other
103,Other plastic,Plastic
103,Clear plastic bottle,Plastic
103,Plastic bottle cap,Plastic
103,Unlabeled litter,Other
103,Plastic film,Plastic
104,Plastic film,Plastic
104,Clear plastic bottle,Plastic
104,Clear plastic bottle,Plastic
104,Plastic film,Plastic
104,Plastic film,Plastic
104,Other plastic wrapper,Plastic
104,Disposable plastic cup,Plastic
104,Unlabeled litter,Other
104,Single-use carrier bag,Plastic
104,Plastic film,Plastic
104,Plastic film,Plastic
104,Unlabeled litter,Other
104,Unlabeled litter,Other
104,Unlabeled litter,Other
105,Single-use carrier bag,Plastic
105,Plastic film,Plastic
105,Unlabeled litter,Other
105,Unlabeled litter,Other
105,Plastic film,Plastic
105,Unlabeled litter,Other
105,Unlabeled litter,Other
105,Unlabeled litter,Other
105,Unlabeled litter,Other
105,Plastic film,Plastic
105,Unlabeled litter,Other
106,Other plastic container,Plastic
106,Disposable food container,Other
106,Plastic film,Plastic
106,Clear plastic bottle,Plastic
106,Plastic film,Plastic
106,Plastic film,Plastic
106,Other plastic wrapper,Plastic
106,Other plastic,Plastic
106,Unlabeled litter,Other
107,Single-use carrier bag,Plastic
107,Single-use carrier bag,Plastic
107,Other plastic,Plastic
107,Unlabeled litter,Other
108,Other plastic container,Plastic
108,Unlabeled litter,Other
109,Plastic film,Plastic
109,Plastic film,Plastic
109,Plastic film,Plastic
110,Single-use carrier bag,Plastic
110,Unlabeled litter,Other
111,Unlabeled litter,Other
111,Clear plastic bottle,Plastic
112,Glass bottle,Glass
112,Crisp packet,Plastic
112,Metal bottle cap,Metal
112,Metal bottle cap,Metal
112,Glass cup,Glass
112,Glass cup,Glass
112,Glass bottle,Glass
112,Glass cup,Glass
112,Glass bottle,Glass
112,Glass bottle,Glass
112,Tissues,Paper
112,Plastic film,Plastic
112,Tissues,Paper
112,Tissues,Paper
113,Clear plastic bottle,Plastic
114,Glass bottle,Glass
114,Glass bottle,Glass
115,Glass bottle,Glass
115,Tissues,Paper
115,Tissues,Paper
116,Drink can,Metal
116,Drink can,Metal
116,Glass bottle,Glass
116,Clear plastic bottle,Plastic
116,Unlabeled litter,Other
117,Plastic film,Plastic
118,Unlabeled litter,Other
119,Aluminium foil,Metal
120,Normal paper,Paper
121,Plastic film,Plastic
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
121,Cigarette,Other
122,Glass bottle,Glass
122,Cigarette,Other
122,Cigarette,Other
122,Cigarette,Other
122,Cigarette,Other
122,Cigarette,Other
122,Cigarette,Other
123,Plastic film,Plastic
123,Cigarette,Other
123,Cigarette,Other
123,Other plastic wrapper,Plastic
124,Clear plastic bottle,Plastic
125,Shoe,Other
126,Drink can,Metal
127,Egg carton,Paper
127,Egg carton,Paper
127,Polypropylene bag,Plastic
128,Drink carton,Paper
128,Plastic straw,Plastic
128,Cigarette,Other
128,Other plastic,Plastic
129,Other plastic,Plastic
130,Clear plastic bottle,Plastic
130,Scrap metal,Metal
130,Scrap metal,Metal
130,Scrap metal,Metal
131,Corrugated carton,Paper
132,Corrugated carton,Paper
132,Cigarette,Other
133,Other plastic wrapper,Plastic
134,Plastic straw,Plastic
134,Unlabeled litter,Other
134,Unlabeled litter,Other
135,Normal paper,Paper
135,Drink can,Metal
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Cigarette,Other
135,Unlabeled litter,Other
135,Unlabeled litter,Other
135,Unlabeled litter,Other
135,Unlabeled litter,Other
135,Unlabeled litter,Other
135,Other plastic wrapper,Plastic
136,Drink can,Metal
136,Pop tab,Metal
136,Tissues,Paper
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Normal paper,Paper
136,Normal paper,Paper
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Cigarette,Other
136,Plastic film,Plastic
137,Other carton,Paper
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Cigarette,Other
137,Unlabeled litter,Other
137,Unlabeled litter,Other
138,Other carton,Paper
138,Other carton,Paper
138,Cigarette,Other
138,Cigarette,Other
138,Cigarette,Other
139,Normal paper,Paper
139,Magazine paper,Paper
139,Drink carton,Paper
139,Unlabeled litter,Other
140,Plastic bottle cap,Plastic
141,Unlabeled litter,Other
141,Plastic film,Plastic
142,Cigarette,Other
142,Plastic film,Plastic
142,Plastic film,Plastic
142,Plastic film,Plastic
142,Plastic film,Plastic
143,Plastic film,Plastic
143,Plastic film,Plastic
143,Other plastic wrapper,Plastic
144,Cigarette,Other
144,Cigarette,Other
144,Cigarette,Other
144,Plastic film,Plastic
144,Plastic film,Plastic
144,Plastic film,Plastic
144,Plastic film,Plastic
145,Plastic straw,Plastic
146,Plastic bottle cap,Plastic
147,Other carton,Paper
148,Clear plastic bottle,Plastic
148,Unlabeled litter,Other
148,Unlabeled litter,Other
148,Unlabeled litter,Other
148,Unlabeled litter,Other
149,Unlabeled litter,Other
149,Broken glass,Glass
149,Broken glass,Glass
149,Plastic film,Plastic
149,Plastic film,Plastic
150,Other plastic wrapper,Plastic
150,Unlabeled litter,Other
151,Plastic film,Plastic
151,Unlabeled litter,Other
151,Unlabeled litter,Other
151,Unlabeled litter,Other
151,Plastic film,Plastic
151,Plastic film,Plastic
151,Unlabeled litter,Other
151,Unlabeled litter,Other
151,Plastic film,Plastic
151,Plastic film,Plastic
152,Styrofoam piece,Other
153,Unlabeled litter,Other
154,Plastic film,Plastic
155,Plastic film,Plastic
155,Cigarette,Other
156,Plastic film,Plastic
157,Plastic film,Plastic
158,Plastic film,Plastic
158,Other plastic,Plastic
159,Plastic film,Plastic
160,Plastic film,Plastic
160,Other plastic,Plastic
161,Plastic film,Plastic
162,Aluminium foil,Metal
163,Plastic film,Plastic
163,Unlabeled litter,Other
163,Plastic film,Plastic
164,Plastic film,Plastic
164,Plastic film,Plastic
165,Cigarette,Other
166,Plastic film,Plastic
167,Plastic film,Plastic
168,Plastic film,Plastic
169,Plastic film,Plastic
170,Rope & strings,Other
171,Unlabeled litter,Other
171,Rope & strings,Other
172,Other plastic,Plastic
172,Unlabeled litter,Other
173,Other plastic,Plastic
173,Rope & strings,Other
174,Plastic film,Plastic
175,Other plastic,Plastic
176,Clear plastic bottle,Plastic
176,Clear plastic bottle,Plastic
176,Cigarette,Other
177,Plastic film,Plastic
177,Cigarette,Other
177,Unlabeled litter,Other
177,Unlabeled litter,Other
178,Cigarette,Other
178,Plastic film,Plastic
179,Other plastic,Plastic
180,Unlabeled litter,Other
180,Unlabeled litter,Other
181,Plastic straw,Plastic
182,Clear plastic bottle,Plastic
182,Unlabeled litter,Other
182,Cigarette,Other
182,Cigarette,Other
183,Other plastic,Plastic
184,Meal carton,Paper
184,Cigarette,Other
184,Cigarette,Other
184,Cigarette,Other
184,Cigarette,Other
185,Garbage bag,Plastic
185,Other plastic,Plastic
185,Unlabeled litter,Other
185,Garbage bag,Plastic
185,Unlabeled litter,Other
186,Metal lid,Metal
186,Metal lid,Metal
186,Plastic film,Plastic
186,Other plastic wrapper,Plastic
186,Unlabeled litter,Other
186,Broken glass,Glass
186,Metal lid,Metal
186,Metal bottle cap,Metal
186,Corrugated carton,Paper
187,Plastic lid,Plastic
187,Other plastic wrapper,Plastic
187,Glass bottle,Glass
187,Cigarette,Other
187,Cigarette,Other
187,Unlabeled litter,Other
187,Cigarette,Other
188,Clear plastic bottle,Plastic
188,Cigarette,Other
188,Cigarette,Other
189,Tissues,Paper
189,Other carton,Paper
190,Disposable plastic cup,Plastic
190,Disposable plastic cup,Plastic
190,Unlabeled litter,Other
190,Unlabeled litter,Other
190,Rope & strings,Other
191,Plastic film,Plastic
191,Unlabeled litter,Other
191,Unlabeled litter,Other
191,Unlabeled litter,Other
191,Unlabeled litter,Other
192,Glass bottle,Glass
192,Tissues,Paper
192,Unlabeled litter,Other
192,Plastic film,Plastic
193,Plastic film,Plastic
193,Unlabeled litter,Other
194,Glass bottle,Glass
194,Other plastic wrapper,Plastic
194,Unlabeled litter,Other
194,Unlabeled litter,Other
194,Unlabeled litter,Other
194,Glass bottle,Glass
194,Unlabeled litter,Other
194,Unlabeled litter,Other
194,Unlabeled litter,Other
194,Unlabeled litter,Other
194,Cigarette,Other
194,Unlabeled litter,Other
194,Plastic film,Plastic
194,Unlabeled litter,Other
195,Disposable plastic cup,Plastic
195,Metal bottle cap,Metal
195,Aluminium blister pack,Metal
195,Unlabeled litter,Other
195,Unlabeled litter,Other
195,Unlabeled litter,Other
196,Cigarette,Other
196,Aluminium foil,Metal
197,Disposable plastic cup,Plastic
197,Cigarette,Other
197,Broken glass,Glass
197,Cigarette,Other
197,Unlabeled litter,Other
197,Unlabeled litter,Other
198,Clear plastic bottle,Plastic
198,Plastic bottle cap,Plastic
199,Styrofoam piece,Other
199,Corrugated carton,Paper
199,Corrugated carton,Paper
200,Other plastic wrapper,Plastic
201,Styrofoam piece,Other
201,Corrugated carton,Paper
201,Corrugated carton,Paper
202,Styrofoam piece,Other
202,Styrofoam piece,Other
202,Corrugated carton,Paper
203,Styrofoam piece,Other
204,Corrugated carton,Paper
204,Corrugated carton,Paper
204,Corrugated carton,Paper
204,Styrofoam piece,Other
204,Styrofoam piece,Other
205,Styrofoam piece,Other
205,Corrugated carton,Paper
206,Corrugated carton,Paper
206,Styrofoam piece,Other
207,Corrugated carton,Paper
207,Corrugated carton,Paper
207,Corrugated carton,Paper
207,Corrugated carton,Paper
208,Styrofoam piece,Other
209,Styrofoam piece,Other
209,Corrugated carton,Paper
209,Corrugated carton,Paper
210,Garbage bag,Plastic
210,Corrugated carton,Paper
211,Corrugated carton,Paper
211,Corrugated carton,Paper
211,Corrugated carton,Paper
211,Corrugated carton,Paper
211,Corrugated carton,Paper
212,Pizza box,Paper
212,Corrugated carton,Paper
212,Corrugated carton,Paper
213,Corrugated carton,Paper
213,Corrugated carton,Paper
214,Corrugated carton,Paper
214,Corrugated carton,Paper
215,Corrugated carton,Paper
215,Styrofoam piece,Other
216,Styrofoam piece,Other
216,Styrofoam piece,Other
216,Cigarette,Other
216,Cigarette,Other
216,Cigarette,Other
217,Corrugated carton,Paper
217,Styrofoam piece,Other
218,Styrofoam piece,Other
219,Plastic film,Plastic
219,Scrap metal,Metal
219,Scrap metal,Metal
219,Scrap metal,Metal
219,Scrap metal,Metal
219,Scrap metal,Metal
219,Scrap metal,Metal
220,Other plastic bottle,Plastic
220,Plastic bottle cap,Plastic
220,Styrofoam piece,Other
220,Styrofoam piece,Other
221,Rope & strings,Other
222,Other plastic bottle,Plastic
223,Spread tub,Plastic
224,Plastic bottle cap,Plastic
225,Plastic bottle cap,Plastic
226,Shoe,Other
227,Clear plastic bottle,Plastic
227,Plastic bottle cap,Plastic
227,Plastic straw,Plastic
228,Plastic glooves,Plastic
229,Styrofoam piece,Other
229,Other plastic,Plastic
229,Styrofoam piece,Other
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Single-use carrier bag,Plastic
229,Other plastic bottle,Plastic
230,Other plastic,Plastic
230,Other plastic,Plastic
231,Plastic film,Plastic
232,Other carton,Paper
233,Plastic film,Plastic
234,Tissues,Paper
235,Other plastic bottle,Plastic
236,Styrofoam piece,Other
237,Other plastic bottle,Plastic
238,Magazine paper,Paper
239,Paper cup,Paper
240,Meal carton,Paper
240,Meal carton,Paper
240,Unlabeled litter,Other
241,Meal carton,Paper
241,Other plastic wrapper,Plastic
241,Meal carton,Paper
241,Normal paper,Paper
242,Drink can,Metal
243,Paper cup,Paper
244,Other plastic wrapper,Plastic
245,Garbage bag,Plastic
245,Plastic film,Plastic
245,Plastic film,Plastic
246,Other plastic wrapper,Plastic
247,Paper cup,Paper
247,Other plastic wrapper,Plastic
248,Other plastic wrapper,Plastic
249,Drink can,Metal
249,Pop tab,Metal
250,Unlabeled litter,Other
251,Plastic film,Plastic
252,Other plastic wrapper,Plastic
253,Plastic lid,Plastic
253,Paper cup,Paper
254,Other carton,Paper
254,Plastic film,Plastic
255,Corrugated carton,Paper
255,Rope & strings,Other
256,Styrofoam piece,Other
257,Unlabeled litter,Other
258,Plastic bottle cap,Plastic
259,Unlabeled litter,Other
260,Aluminium foil,Metal
260,Unlabeled litter,Other
260,Plastic film,Plastic
261,Polypropylene bag,Plastic
261,Other plastic,Plastic
262,Plastic film,Plastic
262,Unlabeled litter,Other
263,Styrofoam piece,Other
264,Single-use carrier bag,Plastic
264,Plastic film,Plastic
264,Plastic film,Plastic
264,Plastic film,Plastic
264,Unlabeled litter,Other
265,Plastic film,Plastic
266,Single-use carrier bag,Plastic
267,Plastic film,Plastic
268,Drink carton,Paper
268,Plastic straw,Plastic
269,Styrofoam piece,Other
270,Plastic film,Plastic
270,Styrofoam piece,Other
271,Clear plastic bottle,Plastic
271,Plastic bottle cap,Plastic
272,Plastic film,Plastic
272,Plastic film,Plastic
272,Styrofoam piece,Other
272,Plastic film,Plastic
272,Plastic film,Plastic
272,Plastic film,Plastic
272,Plastic film,Plastic
273,Other plastic wrapper,Plastic
274,Plastic film,Plastic
274,Unlabeled litter,Other
275,Styrofoam piece,Other
275,Plastic film,Plastic
275,Plastic film,Plastic
275,Styrofoam piece,Other
275,Plastic film,Plastic
275,Plastic film,Plastic
275,Plastic film,Plastic
275,Plastic film,Plastic
275,Other plastic,Plastic
276,Styrofoam piece,Other
276,Clear plastic bottle,Plastic
276,Plastic bottle cap,Plastic
276,Plastic film,Plastic
276,Styrofoam piece,Other
277,Styrofoam piece,Other
277,Plastic film,Plastic
278,Styrofoam piece,Other
278,Unlabeled litter,Other
279,Styrofoam piece,Other
280,Plastic film,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Other plastic,Plastic
280,Styrofoam piece,Other
281,Plastic film,Plastic
281,Garbage bag,Plastic
282,Styrofoam piece,Other
283,Other plastic wrapper,Plastic
283,Other plastic wrapper,Plastic
283,Plastic film,Plastic
284,Plastic film,Plastic
285,Plastic film,Plastic
286,Plastic bottle cap,Plastic
287,Other plastic wrapper,Plastic
288,Plastic film,Plastic
289,Paper cup,Paper
289,Unlabeled litter,Other
289,Unlabeled litter,Other
290,Other carton,Paper
291,Clear plastic bottle,Plastic
291,Cigarette,Other
292,Cigarette,Other
293,Other plastic wrapper,Plastic
293,Other plastic wrapper,Plastic
294,Plastic bottle cap,Plastic
295,Clear plastic bottle,Plastic
295,Wrapping paper,Paper
296,Clear plastic bottle,Plastic
296,Plastic bottle cap,Plastic
296,Other plastic,Plastic
296,Plastic film,Plastic
296,Unlabeled litter,Other
296,Unlabeled litter,Other
296,Unlabeled litter,Other
296,Unlabeled litter,Other
297,Drink carton,Paper
297,Plastic straw,Plastic
297,Cigarette,Other
297,Cigarette,Other
298,Drink carton,Paper
298,Unlabeled litter,Other
298,Plastic straw,Plastic
298,Other plastic container,Plastic
298,Unlabeled litter,Other
298,Unlabeled litter,Other
298,Cigarette,Other
298,Cigarette,Other
298,Cigarette,Other
298,Cigarette,Other
298,Cigarette,Other
298,Cigarette,Other
299,Glass bottle,Glass
299,Cigarette,Other
300,Clear plastic bottle,Plastic
300,Plastic bottle cap,Plastic
301,Clear plastic bottle,Plastic
301,Plastic bottle cap,Plastic
301,Other plastic wrapper,Plastic
301,Cigarette,Other
301,Unlabeled litter,Other
301,Other plastic,Plastic
302,Paper cup,Paper
302,Unlabeled litter,Other
303,Plastic bottle cap,Plastic
304,Cigarette,Other
305,Other carton,Paper
305,Plastic film,Plastic
306,Plastic film,Plastic
307,Plastic bottle cap,Plastic
308,Crisp packet,Plastic
308,Other plastic wrapper,Plastic
309,Drink can,Metal
310,Other plastic wrapper,Plastic
310,Tissues,Paper
310,Plastic straw,Plastic
311,Plastic film,Plastic
311,Plastic film,Plastic
311,Plastic film,Plastic
311,Other plastic wrapper,Plastic
311,Other plastic wrapper,Plastic
312,Wrapping paper,Paper
313,Clear plastic bottle,Plastic
314,Clear plastic bottle,Plastic
314,Plastic bottle cap,Plastic
315,Plastic bottle cap,Plastic
316,Cigarette,Other
316,Plastic bottle cap,Plastic
316,Scrap metal,Metal
317,Disposable food container,Other
318,Paper cup,Paper
318,Crisp packet,Plastic
318,Disposable plastic cup,Plastic
319,Drink can,Metal
320,Plastic film,Plastic
320,Foam cup,Other
320,Plastic utensils,Plastic
320,Plastic utensils,Plastic
320,Plastic utensils,Plastic
320,Clear plastic bottle,Plastic
320,Plastic bottle cap,Plastic
320,Disposable food container,Other
321,Cigarette,Other
321,Paper cup,Paper
321,Cigarette,Other
322,Clear plastic bottle,Plastic
322,Other plastic,Plastic
323,Disposable plastic cup,Plastic
324,Drink can,Metal
324,Unlabeled litter,Other
324,Other plastic,Plastic
325,Clear plastic bottle,Plastic
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Cigarette,Other
325,Unlabeled litter,Other
325,Cigarette,Other
325,Cigarette,Other
326,Cigarette,Other
326,Metal bottle cap,Metal
326,Unlabeled litter,Other
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
326,Other plastic,Plastic
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Paper cup,Paper
327,Paper cup,Paper
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Cigarette,Other
327,Unlabeled litter,Other
327,Unlabeled litter,Other
327,Paper cup,Paper
327,Cigarette,Other
327,Wrapping paper,Paper
327,Unlabeled litter,Other
327,Cigarette,Other
327,Unlabeled litter,Other
327,Unlabeled litter,Other
327,Unlabeled litter,Other
327,Unlabeled litter,Other
328,Paper cup,Paper
328,Cigarette,Other
328,Other plastic,Plastic
